,Date,High,Low,Open,Close,NClose
0,2020-07-27,3280.0,3215.0,3260.0,3245.0,22715.849609375
1,2020-07-28,3375.0,3250.0,3270.0,3305.0,22657.380859375
2,2020-07-29,3320.0,3260.0,3270.0,3275.0,22397.109375
3,2020-07-30,3405.0,3315.0,3350.0,3345.0,22339.23046875
4,2020-07-31,3425.0,3320.0,3365.0,3320.0,21710.0
5,2020-08-03,3445.0,3360.0,3380.0,3365.0,22195.380859375
6,2020-08-04,3450.0,3405.0,3420.0,3430.0,22573.66015625
7,2020-08-05,3455.0,3405.0,3425.0,3445.0,22514.849609375
8,2020-08-06,3485.0,3435.0,3450.0,3480.0,22418.150390625
9,2020-08-07,3490.0,3405.0,3480.0,3465.0,22329.939453125
10,2020-08-11,3350.0,3170.0,3290.0,3320.0,22750.240234375
11,2020-08-12,3340.0,3160.0,3335.0,3180.0,22843.9609375
12,2020-08-13,3260.0,3185.0,3250.0,3195.0,23249.609375
13,2020-08-14,3200.0,3115.0,3195.0,3185.0,23289.359375
14,2020-08-17,3165.0,3120.0,3120.0,3145.0,23096.75
15,2020-08-18,3105.0,3025.0,3105.0,3065.0,23051.080078125
16,2020-08-19,3050.0,2966.0,3000.0,3025.0,23110.609375
17,2020-08-20,2973.0,2913.0,2965.0,2943.0,22880.619140625
18,2020-08-21,2988.0,2948.0,2958.0,2955.0,22920.30078125
19,2020-08-24,2976.0,2911.0,2955.0,2971.0,22985.509765625
20,2020-08-25,3015.0,2966.0,2997.0,2966.0,23296.76953125
21,2020-08-26,2974.0,2932.0,2973.0,2974.0,23290.859375
22,2020-08-27,3030.0,2961.0,2975.0,2965.0,23208.859375
23,2020-08-28,2935.0,2836.0,2927.0,2861.0,22882.650390625
24,2020-08-31,2889.0,2856.0,2887.0,2856.0,23139.759765625
25,2020-09-01,2898.0,2836.0,2865.0,2888.0,23138.0703125
26,2020-09-02,3015.0,2948.0,2950.0,2971.0,23247.150390625
27,2020-09-03,3080.0,3005.0,3075.0,3020.0,23465.529296875
28,2020-09-04,2982.0,2916.0,2940.0,2969.0,23205.4296875
29,2020-09-07,3010.0,2926.0,2950.0,2984.0,23089.94921875
30,2020-09-08,3035.0,2985.0,3020.0,3030.0,23274.130859375
31,2020-09-09,3020.0,2981.0,3015.0,3010.0,23032.5390625
32,2020-09-10,3115.0,3020.0,3035.0,3065.0,23235.470703125
33,2020-09-11,3145.0,3065.0,3110.0,3120.0,23406.490234375
34,2020-09-14,3175.0,3130.0,3130.0,3165.0,23559.30078125
35,2020-09-15,3165.0,3120.0,3140.0,3150.0,23454.890625
36,2020-09-16,3160.0,3130.0,3150.0,3145.0,23475.529296875
37,2020-09-17,3150.0,3090.0,3115.0,3150.0,23319.369140625
38,2020-09-18,3215.0,3155.0,3170.0,3215.0,23360.30078125
39,2020-09-23,3270.0,3190.0,3220.0,3265.0,23346.490234375
40,2020-09-24,3280.0,3220.0,3260.0,3250.0,23087.8203125
41,2020-09-25,3360.0,3240.0,3280.0,3330.0,23204.619140625
42,2020-09-28,3380.0,3315.0,3350.0,3365.0,23511.619140625
43,2020-09-29,3400.0,3350.0,3370.0,3365.0,23539.099609375
44,2020-09-30,3360.0,3265.0,3360.0,3290.0,23185.119140625
45,2020-10-02,3410.0,3315.0,3330.0,3375.0,23029.900390625
46,2020-10-05,3405.0,3330.0,3395.0,3380.0,23312.140625
47,2020-10-06,3475.0,3370.0,3420.0,3390.0,23433.73046875
48,2020-10-07,3440.0,3360.0,3380.0,3430.0,23422.8203125
49,2020-10-08,3545.0,3465.0,3470.0,3505.0,23647.0703125
50,2020-10-09,3580.0,3515.0,3550.0,3560.0,23619.689453125
51,2020-10-12,3600.0,3550.0,3585.0,3565.0,23558.689453125
52,2020-10-13,3710.0,3570.0,3580.0,3705.0,23601.779296875
53,2020-10-14,3720.0,3640.0,3675.0,3695.0,23626.73046875
54,2020-10-15,3760.0,3685.0,3695.0,3705.0,23507.23046875
55,2020-10-16,3720.0,3645.0,3700.0,3685.0,23410.630859375
56,2020-10-19,3865.0,3715.0,3735.0,3840.0,23671.130859375
57,2020-10-20,3940.0,3825.0,3830.0,3860.0,23567.0390625
58,2020-10-21,3935.0,3875.0,3885.0,3910.0,23639.4609375
59,2020-10-22,3970.0,3890.0,3890.0,3925.0,23474.26953125
60,2020-10-23,3915.0,3815.0,3915.0,3870.0,23516.58984375
61,2020-10-26,3980.0,3925.0,3955.0,3970.0,23494.33984375
62,2020-10-27,3960.0,3860.0,3915.0,3955.0,23485.80078125
63,2020-10-28,3975.0,3905.0,3955.0,3950.0,23418.509765625
64,2020-10-29,3935.0,3835.0,3880.0,3915.0,23331.939453125
65,2020-10-30,3890.0,3780.0,3850.0,3840.0,22977.130859375
66,2020-11-02,3815.0,3685.0,3815.0,3730.0,23295.48046875
67,2020-11-04,3825.0,3695.0,3800.0,3740.0,23695.23046875
68,2020-11-05,3880.0,3760.0,3765.0,3855.0,24105.279296875
69,2020-11-06,3920.0,3805.0,3855.0,3885.0,24325.23046875
70,2020-11-09,4060.0,3915.0,3950.0,4055.0,24839.83984375
71,2020-11-10,4150.0,3910.0,4100.0,3945.0,24905.58984375
72,2020-11-11,4095.0,3890.0,3950.0,4015.0,25349.599609375
73,2020-11-12,4145.0,4060.0,4100.0,4100.0,25520.880859375
74,2020-11-13,4070.0,3985.0,4055.0,4000.0,25385.869140625
75,2020-11-16,4135.0,4035.0,4085.0,4135.0,25906.9296875
76,2020-11-17,4220.0,4105.0,4170.0,4130.0,26014.619140625
77,2020-11-18,4240.0,4125.0,4170.0,4170.0,25728.140625
78,2020-11-19,4195.0,4110.0,4150.0,4180.0,25634.33984375
79,2020-11-20,4310.0,4165.0,4175.0,4310.0,25527.369140625
80,2020-11-24,4450.0,4345.0,4380.0,4415.0,26165.58984375
81,2020-11-25,4505.0,4450.0,4485.0,4460.0,26296.859375
82,2020-11-26,4655.0,4470.0,4475.0,4645.0,26537.310546875
83,2020-11-27,4705.0,4595.0,4680.0,4695.0,26644.7109375
84,2020-11-30,4815.0,4720.0,4775.0,4735.0,26433.619140625
85,2020-12-01,4830.0,4700.0,4755.0,4750.0,26787.5390625
86,2020-12-02,4780.0,4690.0,4760.0,4745.0,26800.98046875
87,2020-12-03,4755.0,4675.0,4730.0,4740.0,26809.369140625
88,2020-12-04,4735.0,4575.0,4700.0,4700.0,26751.240234375
89,2020-12-07,4760.0,4635.0,4730.0,4660.0,26547.439453125
90,2020-12-08,4770.0,4620.0,4655.0,4745.0,26467.080078125
91,2020-12-09,4815.0,4695.0,4710.0,4780.0,26817.939453125
92,2020-12-10,4685.0,4545.0,4685.0,4555.0,26756.240234375
93,2020-12-11,4620.0,4425.0,4560.0,4490.0,26652.51953125
94,2020-12-14,4615.0,4460.0,4510.0,4610.0,26732.439453125
95,2020-12-15,4660.0,4545.0,4645.0,4620.0,26687.83984375
96,2020-12-16,4760.0,4615.0,4710.0,4620.0,26757.400390625
97,2020-12-17,4775.0,4650.0,4665.0,4765.0,26806.669921875
98,2020-12-18,4740.0,4675.0,4730.0,4675.0,26763.390625
99,2020-12-21,4690.0,4580.0,4660.0,4640.0,26714.419921875
100,2020-12-22,4615.0,4510.0,4570.0,4525.0,26436.390625
101,2020-12-23,4670.0,4565.0,4605.0,4670.0,26524.7890625
102,2020-12-24,4735.0,4660.0,4685.0,4685.0,26668.349609375
103,2020-12-25,4680.0,4625.0,4680.0,4675.0,26656.609375
104,2020-12-28,4810.0,4685.0,4700.0,4810.0,26854.029296875
105,2020-12-29,4860.0,4760.0,4800.0,4855.0,27568.150390625
106,2020-12-30,4890.0,4785.0,4855.0,4835.0,27444.169921875
107,2021-01-04,4915.0,4770.0,4905.0,4835.0,27258.380859375
108,2021-01-05,5030.0,4820.0,4840.0,5020.0,27158.630859375
109,2021-01-06,5030.0,4900.0,4990.0,4925.0,27055.939453125
110,2021-01-07,4970.0,4875.0,4970.0,4920.0,27490.130859375
111,2021-01-08,5220.0,4970.0,5000.0,5190.0,28139.029296875
112,2021-01-12,5260.0,5030.0,5090.0,5220.0,28164.33984375
113,2021-01-13,5450.0,5170.0,5180.0,5450.0,28456.58984375
114,2021-01-14,5820.0,5470.0,5520.0,5580.0,28698.259765625
115,2021-01-15,5750.0,5360.0,5750.0,5460.0,28519.1796875
116,2021-01-18,5510.0,5330.0,5370.0,5450.0,28242.2109375
117,2021-01-19,5890.0,5610.0,5680.0,5870.0,28633.4609375
118,2021-01-20,6220.0,5980.0,6070.0,6100.0,28523.259765625
119,2021-01-21,6270.0,6050.0,6250.0,6250.0,28756.859375
120,2021-01-22,6210.0,5960.0,6150.0,6070.0,28631.44921875
121,2021-01-25,6060.0,5900.0,6010.0,6040.0,28822.2890625
122,2021-01-26,6190.0,6060.0,6070.0,6130.0,28546.1796875
123,2021-01-27,6220.0,6120.0,6140.0,6180.0,28635.2109375
124,2021-01-28,6230.0,5970.0,5980.0,6080.0,28197.419921875
125,2021-01-29,6370.0,6110.0,6200.0,6140.0,27663.390625
